,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
0,2021-11-01 00:00:00,4.0,15956.0,118,6.8,95,742,4.3,13620.0,13399.0
1,2021-11-01 00:15:00,3.7,15634.0,117,6.8,95,742,4.7,16689.0,17363.0
2,2021-11-01 00:30:00,3.5,15347.0,117,6.8,95,742,4.0,10999.0,9770.0
3,2021-11-01 00:45:00,3.3,15060.0,117,6.7,96,741,3.5,7216.0,5695.0
4,2021-11-01 01:00:00,3.0,14773.0,117,6.7,96,741,3.7,8973.0,9324.0
5,2021-11-01 01:15:00,2.9,14603.0,117,6.7,96,741,4.0,12071.0,11222.0
6,2021-11-01 01:30:00,2.9,14551.0,117,6.7,96,741,4.1,12447.0,11836.0
7,2021-11-01 01:45:00,3.0,14500.0,118,6.6,97,741,4.0,11462.0,10775.0
8,2021-11-01 02:00:00,3.0,14448.0,118,6.6,97,741,3.7,8862.0,9212.0
9,2021-11-01 02:15:00,2.8,14299.0,117,6.6,97,741,3.9,10010.0,8877.0
10,2021-11-01 02:30:00,2.6,14052.0,115,6.6,97,741,3.7,8344.0,7537.0
11,2021-11-01 02:45:00,2.5,13805.0,111,6.6,97,741,3.6,8278.0,7649.0
12,2021-11-01 03:00:00,2.3,13558.0,108,6.6,97,741,3.2,5664.0,5360.0
13,2021-11-01 03:15:00,2.2,13428.0,106,6.6,97,741,3.1,5653.0,5025.0
14,2021-11-01 03:30:00,2.2,13416.0,103,6.6,97,741,3.3,5896.0,5806.0
15,2021-11-01 03:45:00,2.3,13404.0,103,6.6,97,740,3.2,5602.0,4801.0
16,2021-11-01 04:00:00,2.2,13392.0,100,6.6,97,740,3.2,5082.0,4801.0
17,2021-11-01 04:15:00,2.2,13362.0,100,6.6,97,740,3.3,5630.0,5695.0
18,2021-11-01 04:30:00,2.2,13313.0,98,6.6,97,740,3.6,8623.0,9770.0
19,2021-11-01 04:45:00,2.2,13264.0,98,6.6,97,740,3.8,9415.0,7984.0
20,2021-11-01 05:00:00,2.2,13215.0,95,6.6,97,740,3.5,7598.0,7146.0
21,2021-11-01 05:15:00,2.2,13249.0,95,6.6,97,740,3.2,7186.0,7649.0
22,2021-11-01 05:30:00,2.2,13366.0,98,6.6,97,740,3.6,8230.0,8430.0
23,2021-11-01 05:45:00,2.2,13483.0,100,6.6,97,740,3.6,8061.0,7035.0
24,2021-11-01 06:00:00,2.3,13600.0,103,6.6,97,740,3.6,7572.0,7258.0
25,2021-11-01 06:15:00,2.3,13756.0,105,6.6,97,740,3.4,7245.0,5360.0
26,2021-11-01 06:30:00,2.3,13950.0,108,6.6,97,740,3.1,5730.0,5583.0
27,2021-11-01 06:45:00,2.4,14144.0,112,6.6,97,741,3.5,7705.0,8654.0
28,2021-11-01 07:00:00,2.4,14338.0,114,6.6,97,741,3.7,9109.0,9212.0
29,2021-11-01 07:15:00,2.5,14503.0,119,6.6,97,741,3.8,9122.0,8430.0
30,2021-11-01 07:30:00,2.6,14639.0,121,6.6,97,741,3.7,8054.0,8430.0
31,2021-11-01 07:45:00,2.6,14776.0,122,6.7,97,741,3.6,8120.0,8095.0
32,2021-11-01 08:00:00,2.7,14912.0,124,6.7,97,741,3.6,8813.0,8542.0
33,2021-11-01 08:15:00,2.7,15062.0,126,6.7,97,741,3.5,8009.0,8877.0
34,2021-11-01 08:30:00,2.8,15225.0,129,6.8,97,741,4.1,12770.0,13846.0
35,2021-11-01 08:45:00,3.0,15388.0,132,6.9,97,741,4.1,13618.0,14516.0
36,2021-11-01 09:00:00,3.1,15551.0,135,7.0,97,741,4.4,15372.0,16247.0
37,2021-11-01 09:15:00,3.2,15862.0,139,7.1,97,741,4.6,17860.0,16358.0
38,2021-11-01 09:30:00,3.2,16319.0,141,7.3,96,741,5.0,21570.0,20099.0
39,2021-11-01 09:45:00,3.2,16776.0,146,7.5,95,742,5.0,19802.0,19206.0
40,2021-11-01 10:00:00,3.3,17233.0,149,7.7,94,742,4.7,18727.0,19429.0
41,2021-11-01 10:15:00,3.4,17827.0,153,7.9,93,742,5.0,24809.0,22332.0
42,2021-11-01 10:30:00,3.4,18558.0,156,8.0,94,742,5.0,22535.0,21104.0
43,2021-11-01 10:45:00,3.5,19290.0,158,8.2,94,741,5.3,25695.0,24509.0
44,2021-11-01 11:00:00,3.5,20021.0,160,8.3,95,741,5.4,26474.0,27245.0
45,2021-11-01 11:15:00,3.6,20638.0,162,8.6,94,741,5.7,29620.0,30874.0
46,2021-11-01 11:30:00,3.6,21139.0,164,8.9,93,741,6.1,35971.0,35843.0
47,2021-11-01 11:45:00,3.7,21641.0,164,9.2,92,741,5.6,31802.0,36066.0
48,2021-11-01 12:00:00,3.8,22142.0,166,9.5,91,741,5.8,32929.0,36848.0
49,2021-11-01 12:15:00,3.8,22609.0,166,9.7,90,741,6.2,36913.0,36066.0
50,2021-11-01 12:30:00,3.9,23041.0,168,9.9,89,740,6.0,33387.0,36401.0
51,2021-11-01 12:45:00,4.0,23474.0,168,10.2,88,740,6.1,33563.0,35508.0
52,2021-11-01 13:00:00,4.1,23906.0,170,10.4,87,739,5.9,31512.0,39360.0
53,2021-11-01 13:15:00,4.1,24085.0,170,10.7,87,739,5.8,33019.0,34503.0
54,2021-11-01 13:30:00,4.1,24012.0,172,11.0,86,739,6.1,34509.0,37685.0
55,2021-11-01 13:45:00,4.1,23939.0,173,11.3,85,738,5.7,30028.0,30028.0
56,2021-11-01 14:00:00,4.2,23866.0,175,11.6,84,738,5.4,24372.0,24372.0
