,Unnamed: 0,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
0,0,2020-10-01 00:00:00,6.0,12116.0,104,5.1,69,922,10.2,35622.0,35622.0
1,1,2020-10-01 00:15:00,6.1,12474.0,101,5.0,69,922,9.9,34385.0,34385.0
2,2,2020-10-01 00:30:00,6.3,12843.0,98,4.9,70,922,9.5,32043.0,32043.0
3,3,2020-10-01 00:45:00,6.3,13213.0,95,4.8,71,922,9.3,30260.0,30260.0
4,4,2020-10-01 01:00:00,6.5,13582.0,93,4.7,72,922,9.1,29583.0,29583.0
5,5,2020-10-01 01:15:00,6.7,14026.0,91,4.6,72,922,9.1,30187.0,30187.0
6,6,2020-10-01 01:30:00,6.8,14545.0,90,4.7,72,922,9.3,29898.0,29898.0
7,7,2020-10-01 01:45:00,6.9,15064.0,88,4.7,71,921,8.8,26576.0,26576.0
8,8,2020-10-01 02:00:00,7.0,15583.0,86,4.8,71,921,8.0,18939.0,18939.0
9,9,2020-10-01 02:15:00,7.2,16118.0,85,4.8,71,921,7.3,13410.0,13410.0
10,10,2020-10-01 02:30:00,7.3,16670.0,86,4.8,71,921,7.1,12027.0,12027.0
11,11,2020-10-01 02:45:00,7.4,17221.0,87,4.7,72,920,6.9,11110.0,11110.0
12,12,2020-10-01 03:00:00,7.5,17773.0,88,4.7,72,920,7.0,12758.0,12758.0
13,13,2020-10-01 03:15:00,7.5,18377.0,88,4.6,72,920,7.4,14756.0,14756.0
14,14,2020-10-01 03:30:00,7.6,19032.0,89,4.5,73,920,7.9,17758.0,17758.0
15,15,2020-10-01 03:45:00,7.6,19687.0,90,4.3,73,920,7.1,14230.0,14230.0
16,16,2020-10-01 04:00:00,7.7,20342.0,91,4.2,74,920,7.1,12967.0,12967.0
17,17,2020-10-01 04:15:00,7.7,21021.0,91,4.0,74,920,6.5,10418.0,10418.0
18,18,2020-10-01 04:30:00,7.8,21724.0,90,3.9,75,920,6.5,9561.0,9561.0
19,19,2020-10-01 04:45:00,7.9,22427.0,89,3.8,75,920,6.2,7807.0,7807.0
20,20,2020-10-01 05:00:00,8.0,23130.0,89,3.7,76,920,7.8,20094.0,20094.0
21,21,2020-10-01 05:15:00,8.0,23578.0,89,3.6,76,920,8.4,25261.0,25261.0
22,22,2020-10-01 05:30:00,8.1,23771.0,88,3.6,76,920,7.7,20204.0,20204.0
23,23,2020-10-01 05:45:00,8.1,23964.0,87,3.6,75,919,7.6,19242.0,19242.0
24,24,2020-10-01 06:00:00,8.2,24157.0,87,3.6,75,919,7.3,15011.0,15011.0
25,25,2020-10-01 06:15:00,8.2,24130.0,87,3.7,75,919,7.7,19071.0,19071.0
26,26,2020-10-01 06:30:00,8.2,23883.0,86,3.8,74,919,7.0,15004.0,15004.0
